,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,8시,1050.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,9시,872.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,10시,987.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,11시,900.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,12시,888.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,13시,923.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,14시,741.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,15시,784.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,16시,786.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,17시,725.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,18시,734.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,19시,650.0
0,20170516.0,화,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10713.0,37.54495,126.9927,20시,673.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,8시,1065.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,9시,924.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,10시,900.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,11시,897.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,12시,875.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,13시,932.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,14시,797.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,15시,760.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,16시,728.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,17시,765.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,18시,730.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,19시,678.0
0,20170517.0,수,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,10752.0,37.54495,126.9927,20시,701.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,8시,1086.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,9시,904.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,10시,967.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,11시,949.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,12시,889.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,13시,902.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,14시,858.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,15시,871.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,16시,821.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,17시,705.0
0,20170518.0,목,남산2호터널,A-21,유출,남산2호터널북단->서울용암초등학교,11119.0,37.54495,126.9927,18시,740.0
