,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,8시,1385.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,9시,1832.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,10시,2076.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,11시,1944.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,12시,2081.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,13시,2146.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,14시,2199.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,15시,2152.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,16시,2245.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,17시,2067.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,18시,1780.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,19시,1377.0
0,20171029.0,일,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,24566.0,37.54788,127.178,20시,1282.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,8시,2913.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,9시,2661.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,10시,2700.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,11시,2479.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,12시,2249.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,13시,2453.0
0,20171030.0,월,천호대로(상일IC),B-09,유출,상일초교->상일IC입구,32886.0,37.54788,127.178,14시,2459.0
