,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,8시,2436.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,9시,2102.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,10시,2003.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,11시,2036.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,12시,2177.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,13시,2290.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,14시,2359.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,15시,2370.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,16시,2427.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,17시,2708.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,18시,2737.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,19시,2422.0
0,20170816.0,수,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,29844.0,37.61421,127.1118,20시,1777.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,8시,2400.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,9시,2104.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,10시,2117.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,11시,2154.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,12시,2085.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,13시,2315.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,14시,2453.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,15시,2357.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,16시,2519.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,17시,2664.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,18시,2865.0
0,20170817.0,목,북부간선도로(신내IC),B-07,유입,북부간선도로구리시계->신내IC13,30600.0,37.61421,127.1118,19시,2558.0
