,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,8시,1135.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,9시,944.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,10시,927.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,11시,889.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,12시,841.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,13시,823.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,14시,879.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,15시,917.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,16시,952.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,17시,1272.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,18시,1410.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,19시,1221.0
0,20190328.0,목,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13244.0,37.48924,126.8255,20시,1034.0
0,20190329.0,금,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13180.0,37.48924,126.8255,8시,1138.0
0,20190329.0,금,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13180.0,37.48924,126.8255,9시,849.0
0,20190329.0,금,경인로(유한공고),B-29,유출,오정초등학교->유한공고,13180.0,37.48924,126.8255,10시,887.0
