,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,8시,4347.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,9시,3341.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,10시,4389.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,11시,3920.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,12시,3502.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,13시,3964.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,14시,3435.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,15시,3655.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,16시,4100.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,17시,4056.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,18시,3798.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,19시,3703.0
0,20180428.0,토,성산대교,C-04,유입,성산대교남단->성산대교북단,50172.0,37.552620000000005,126.8941,20시,3962.0
0,20180429.0,일,성산대교,C-04,유입,성산대교남단->성산대교북단,54859.0,37.552620000000005,126.8941,8시,4260.0
0,20180429.0,일,성산대교,C-04,유입,성산대교남단->성산대교북단,54859.0,37.552620000000005,126.8941,9시,4292.0
0,20180429.0,일,성산대교,C-04,유입,성산대교남단->성산대교북단,54859.0,37.552620000000005,126.8941,10시,4028.0
0,20180429.0,일,성산대교,C-04,유입,성산대교남단->성산대교북단,54859.0,37.552620000000005,126.8941,11시,4129.0
0,20180429.0,일,성산대교,C-04,유입,성산대교남단->성산대교북단,54859.0,37.552620000000005,126.8941,12시,4361.0
