,일자,요일,지점명,지점번호,구분,방향,total,Latitude_y,Longitude_y,time,floating
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,8시,1050.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,9시,1254.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,10시,1272.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,11시,1172.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,12시,1121.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,13시,1244.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,14시,1392.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,15시,1302.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,16시,1203.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,17시,1207.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,18시,1189.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,19시,1224.0
0,20181027.0,토,동일로(노원역),D-13,유출,중계역->노원역,15653.0,37.65293,127.0635,20시,1023.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,8시,521.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,9시,706.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,10시,894.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,11시,967.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,12시,1078.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,13시,1283.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,14시,1118.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,15시,899.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,16시,930.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,17시,1155.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,18시,1006.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,19시,885.0
0,20181028.0,일,동일로(노원역),D-13,유출,중계역->노원역,12158.0,37.65293,127.0635,20시,716.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,8시,1252.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,9시,1106.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,10시,1100.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,11시,1155.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,12시,1007.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,13시,1096.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,14시,1234.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,15시,1185.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,16시,1235.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,17시,1217.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,18시,1277.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,19시,1028.0
0,20181030.0,화,동일로(노원역),D-13,유출,중계역->노원역,14804.0,37.65293,127.0635,20시,912.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,8시,1237.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,9시,1060.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,10시,1077.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,11시,1115.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,12시,937.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,13시,1011.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,14시,1166.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,15시,1177.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,16시,1190.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,17시,1187.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,18시,1270.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,19시,1056.0
0,20181031.0,수,동일로(노원역),D-13,유출,중계역->노원역,14358.0,37.65293,127.0635,20시,875.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,8시,1492.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,9시,1449.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,10시,1366.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,11시,1292.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,12시,1092.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,13시,1333.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,14시,1389.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,15시,1504.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,16시,1395.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,17시,1465.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,18시,1422.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,19시,1264.0
0,20181101.0,목,동일로(노원역),D-13,유입,노원역->중계역,17461.0,37.65293,127.0635,20시,998.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,8시,1518.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,9시,1467.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,10시,1334.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,11시,1267.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,12시,1105.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,13시,1192.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,14시,1379.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,15시,1427.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,16시,1431.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,17시,1438.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,18시,1432.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,19시,1215.0
0,20181102.0,금,동일로(노원역),D-13,유입,노원역->중계역,17413.0,37.65293,127.0635,20시,1208.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,8시,1308.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,9시,1509.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,10시,1513.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,11시,1440.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,12시,1402.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,13시,1506.0
0,20181103.0,토,동일로(노원역),D-13,유입,노원역->중계역,18383.0,37.65293,127.0635,14시,1501.0
